,time,NaOH,Form,C10+H2O_Ca_2p_I1,C10+H2O_Ca_2p_I2,C10+H2O_Ca_2p_I3,C10_Ca_2p_I1,C10_Ca_2p_I2,C10_Ca_2p_I3,C10_Ca_2p_I4,C11+H2O_Ca_2p_I1,C11+H2O_Ca_2p_I2,C11+H2O_Ca_2p_I3,C11_Ca_2p_I1,C11_Ca_2p_I2,C12+H2O_Ca_2p_I1,C12+H2O_Ca_2p_I2,C12+H2O_Ca_2p_I3,C12_Ca_2p_I1,C12_Ca_2p_I2,C12_Ca_2p_I3,C2_Ca_I1,C2_Ca_I2,C3_Ca_I1,C4_-H_NaCa_2p,C4_Ca_I1,C4_Ca_I2,C5_Ca_2p_I1,C5_Ca_2p_I2,C5_Na_I1,C5_Na_I2,C6+2H2O_Ca_2p_I1,C6+2H2O_Ca_2p_I2,C6+2H2O_Ca_2p_I3,C6+2H2O_Ca_2p_I4,C6+H2O_Ca_2p_I1,C6+H2O_Ca_2p_I2,C6+H2O_Ca_2p_I3,C6+H2O_Ca_2p_I4,C6-H2O_Ca_2p_I1,C6-H2O_Ca_2p_I2,C6-H2O_Na_I1,C6-H2O_Na_I2,C6-H2O_Na_I3,C6-H2O_Na_I4,C6_Ca_I1,C6_Ca_I2,C6_Ca_I3,C6_Ca_I4,C6_Ca_I5,C6_Ca_I6,C6_Na_I1,C6_Na_I2,C6_Na_I3,C6_Na_I4,C7+2H2O_Ca_2p_I1,C7+2H2O_Ca_2p_I2,C7+2H2O_Ca_2p_I3,C7+H2O_Ca_2p_I1,C7+H2O_Ca_2p_I2,C7+H2O_Ca_2p_I3,C7+H2O_Ca_2p_I4,C7-O-H2O_Na_I1,C7-O-H2O_Na_I2,C7-O-H2O_Na_I3,C7-O-H2O_Na_I4,C7-O-H2O_Na_I5,C7-O-H2O_Na_I6,C7-O_Ca_2p_I1,C7-O_Ca_2p_I2,C7-O_Ca_2p_I3,C7_+H2_Ca_2p_I1,C7_+H2_Ca_2p_I2,C7_+H2_Ca_2p_I3,C7_+H2_Ca_2p_I4,C7_+H2_Ca_2p_I5,C7_Ca_2p_I1,C7_Ca_2p_I2,C7_Ca_2p_I3,C7_Na_I1,C7_Na_I2,C7_Na_I3,C8+H2O_Ca_2p_I1,C8+H2O_Ca_2p_I2,C8+H2O_Ca_2p_I3,C8+H2O_Ca_2p_I4,C8_+H2_Ca_2p_I1,C8_+H2_Ca_2p_I2,C8_+H2_Ca_2p_I3,C8_Ca_2p_I1,C8_Ca_2p_I2,C8_Ca_2p_I3,C8_Ca_2p_I4,C9+H2O_Ca_2p_I1,C9+H2O_Ca_2p_I2,C9+H2O_Ca_2p_I3,C9+H2O_Ca_2p_I4,C9-O2_Ca_2p_I1,C9-O2_Ca_2p_I2,C9-O2_Ca_2p_I3,C9-O2_Ca_2p_I4,C9-O_Ca_2p_I1,C9-O_Ca_2p_I2,C9-O_Ca_2p_I3,C9-O_Ca_2p_I4,C9_Ca_2p_I1,C9_Ca_2p_I2,C9_Ca_2p_I3,C9_Ca_2p_I4,exp
1,3260.0,27.2896,90.2669,0.004687585135127258,0.006608353541958563,0.00026085534263412484,0.005008893750778705,0.02401407010759023,0.00024845768423161987,0.0005063840983764309,0.0009346181730347703,0.002820404684019571,0.00022846209779683066,0.007620170641676243,0.00035513451248065053,0.0003821663373106899,0.0012372589771524312,0.000196887071033734,0.001062834692746694,0.005061982191734997,0.00023511867953907416,0.0006984827866007884,0.00020897209142762969,0.0005034038119890064,0.0006591249158265075,0.0004578591579536632,0.00016192514261777262,0.0012502736535513642,0.0003500157454297895,0.0005488807802506483,0.003535231618055381,0.00028332357275120897,0.0007867297469588916,0.00046425966338561837,0.00029264114086423077,0.005754703058610576,0.004620601370644412,0.0011090037917805722,0.0005920411699989476,0.005780377439473958,0.0006159870325213083,0.00015528269490550978,0.0001901029172979095,0.0001886613799488006,0.00015389131976759575,0.05004153567876003,0.011744909945511837,0.0011670051957726184,0.0006010570986918866,0.0012970359683986308,0.00024109497738866278,0.0012387985263223962,0.007815431283722273,0.012401673760503898,0.004235466944037263,0.00039437545054629166,0.0015700168691849417,0.00033929625474107817,0.0025585577581056424,0.005366497270199586,0.0005315148026372819,0.0005286610445712525,0.00014303361623801595,0.00024131127649418366,0.00030705936976408924,0.0002186810230679392,0.00015466158456883851,0.00013682424714012598,0.012009103124765748,0.0030622870191281382,0.0005972347386387026,0.001771523423354251,0.0027967939384117816,0.0011700623705473289,0.0005908461498623369,0.00024579743380894576,0.019472498862882433,0.00878880118703874,0.0008295278040360497,0.0014902241014496487,0.0006454396094974753,0.00045358260687123757,0.0005305525030499306,0.0035952208160856015,0.003863618217895084,0.0004970744725456887,0.0003531324371191733,0.0015976688586521726,0.0002729602304693739,0.0003330060449881442,0.007261802519401201,0.004554799566547311,0.000527480292542875,0.0008394144330168314,0.013819641092141866,0.0002266256263766639,0.00044619106050498614,0.0003317158192868789,0.000828091695264983,0.00170594998717802,0.0002109926655925539,0.00034572289099350534,0.001681102851257474,0.005278157361434867,0.00029931202027989314,0.0021470438992423264,0.012316860732067121,0.06232615777353321,0.010031256612762413,FTT008
2,5060.0,30.6315,96.6331,0.004754785859120235,0.005385089320401155,0.0003198812755599298,0.0051237035687455735,0.020681582940819922,0.0002832160771547361,0.0006166103515920089,0.0010210472814422967,0.0026988488298182378,0.00026329836350862844,0.007309014152807046,0.00043012887401025973,0.0004373265447805918,0.0012824480578453245,0.0002306782264896369,0.0011036008028818527,0.004589491232910238,0.0002755188219672554,0.0005650054129968346,0.00021355496432676085,0.0004227262211914536,0.0006636358267375533,0.00036208094494088826,0.00018669258129436756,0.0013112429647402007,0.0003573999944892498,0.0008228405093552768,0.005032638027200563,0.00031537512623775924,0.0008582649017184247,0.0006001185399420033,0.0003125277989674524,0.005407003115994435,0.005017067802914633,0.0015550503422780226,0.0005519688741255135,0.005538594628167981,0.0006240495450857508,0.0001905206181481799,0.00023064010934475805,0.00022633170165986587,0.00017694483963696383,0.045780847590042556,0.012557834995295235,0.00136826600908486,0.0005851879239973047,0.0010810876275567489,0.00025831803369265533,0.001354403871758247,0.00889264567449973,0.015463253676625596,0.0053015068455967524,0.00041359104337330326,0.0016885135131263153,0.00038070742284058176,0.0022541868806580175,0.005522721532079265,0.0005472249692276745,0.0004866908249687869,0.00017425048001719955,0.00028762662440221995,0.0004094756301217083,0.0002727045018818362,0.00017184171949389642,0.00015666244174060385,0.011777646202693032,0.0037474016888269803,0.0006124261318895476,0.00175552372214927,0.0028104084423511656,0.0014839333143654688,0.0007524035197560425,0.00028170962086411825,0.016716718109398447,0.010405773419446478,0.000785671173920285,0.0016094985992354566,0.0007218741788577856,0.0005456134802694547,0.0005129782269846777,0.00364971653663808,0.0043404986989227625,0.00048761989944953315,0.0003984987482993876,0.0017385692968898646,0.0003277743742985939,0.00039222055074448456,0.007054112941439762,0.005426059053507467,0.0004894283799314822,0.0008057610331028844,0.012398892388702733,0.0002669568542018704,0.000511930722696868,0.00039343210085937525,0.0009323934740872702,0.0018295269980023927,0.0002575377835454678,0.0004071621178223793,0.0016975890785621383,0.0053882825900856655,0.00038386859561429664,0.0017049612989101198,0.008822030844134852,0.050782098358784,0.007037459503731898,FTT008
3,6860.0,21.8414,100.4384,0.004011116057986541,0.007912693614191892,0.00019742494856652383,0.0042905798164287415,0.025851252593953863,0.00019475551543227993,0.0003155570366771718,0.0008018482543758478,0.0028059883244837894,0.00015963855776930582,0.007507506393462978,0.00023676874779026221,0.0003068307571906751,0.0011317746363292322,0.00015987592691358722,0.000948767920044286,0.004374759100602345,0.00018086942289429787,0.0011212095445816768,0.0002537262395450474,0.0006823082236408873,0.0006211401649422969,0.0007506660730531396,0.00012402530628152268,0.00112579002694262,0.000302017280014749,0.0003174616463169116,0.0015846169684843676,0.00022558529977845644,0.0007745833606217786,0.0003609793045799242,0.0002543393125699222,0.005530428109061175,0.0039365739202189024,0.0007984291437740845,0.000615116440932196,0.005532461233897721,0.000616503508319549,0.00011999806746312878,0.00013688967679251402,0.00013017548478042013,0.00011063674485521496,0.05004399871221887,0.010632233157291613,0.0010848456212762716,0.0008164385335940166,0.0015210086914106068,0.0001828221735303129,0.0011446653120350514,0.006482979141856268,0.008153840585032109,0.0026818817091943063,0.00034760886677084147,0.0014919134255800038,0.00029588673846175017,0.0028829410970929083,0.005250619963757786,0.0004497872608494686,0.0006011208809712996,0.00011503608729278625,0.00018217451783479613,0.00024581611152234934,0.00017430490142120576,0.00011940366019641855,0.00010659137933651608,0.015671738065123807,0.003017474968757388,0.0005836912594210139,0.0021125094824094096,0.0035107622115594416,0.0009968898874559565,0.0004554185124711198,0.00020427317065719203,0.024179489657195345,0.006426831266849748,0.0008717605452388796,0.0013154746328569763,0.000554472482141565,0.00030267250102377637,0.000567760026962428,0.0035182719953770294,0.002880865903102328,0.00048605773181456383,0.00035927917698326593,0.0019037526514969472,0.00023468873357865628,0.0002509841662713324,0.008213283218022536,0.0028606023034098396,0.0005510548495733941,0.0009396934838574164,0.014450184404119683,0.0001851085335091775,0.000317415080377837,0.0002535463483483768,0.0007968536684460024,0.001008085461623567,0.0001730909151468492,0.00030674201778495513,0.0020284213017012047,0.005151008921117629,0.00024130281242030148,0.003282757735075241,0.020521905040956478,0.07232599305356656,0.015601684055688517,FTT008
4,8660.0,12.6292,109.941,0.0020717398515207597,0.007688665941790028,0.00012546085918295827,0.0035111007009756955,0.02260193496315821,0.00015418413276156644,0.0001894734099570742,0.0005878559662513418,0.002255328981645148,0.00011288615042038493,0.006409799182516688,0.00014674940604216227,0.00022815044976771243,0.0008677770086491973,0.00010673731701446194,0.0008460746203535071,0.0024249248504745816,0.00011650766151381753,0.003093900029288241,0.0006740873815394094,0.0015380945236586863,0.0006244855913639299,0.0022518081238763073,9.78688601667406e-05,0.0011226202193511763,0.0003361274087826461,0.00011482578628252855,0.00028993824868484876,0.000185907156294492,0.0004792467541622087,0.0002507521032371122,0.00016107958211053036,0.005611781372465905,0.004317623393447299,0.0008535587313120134,0.0005089856334398453,0.0055239744714417624,0.0007479645284451644,9.514386688402873e-05,8.933229069051524e-05,8.558898248222597e-05,7.99066086535599e-05,0.05268440231479242,0.012147510397336492,0.0014581486281075075,0.0013315161385457216,0.0013933954705131004,0.00011890358365153895,0.0009790825211543285,0.004657553381009803,0.002999238975080164,0.0007404405394379677,0.0002419854757229149,0.0010042679979831983,0.00019423956606506965,0.002982943293267179,0.004004077016427426,0.0002723902459312206,0.0005208972027887113,7.690246455381506e-05,0.0001011542822836655,0.00013554814367243954,0.00011463368792539521,8.268178078407165e-05,8.139211013702802e-05,0.019589257243153368,0.003527731619685498,0.00030203021758193663,0.0022999577395801662,0.0034428503152928273,0.0009165907704462445,0.0003788451177727141,0.0001368818573858587,0.027417354753004726,0.005579583474698948,0.0006911050775886345,0.0007384707203690794,0.00033964450770846674,0.00016236303056434088,0.0005792501021705719,0.0025906821246335777,0.0014113197281762576,0.0003716940005477455,0.0003843637959714295,0.0015849147901278652,0.00014185081137639728,0.00018669634452129913,0.00921447520907917,0.000842587892124855,0.0004944478028719892,0.0008702278207511465,0.011242595171151061,0.0001355647249889858,0.00019556198061887573,0.00017898838477415426,0.000636861154852426,0.0003165275829680635,0.00011106511579914487,0.00022453178798078493,0.0020920293786100253,0.003368168877830384,0.00015327658962981938,0.007550978949157536,0.036703495201683076,0.06920560681316863,0.023238243794674675,FTT008
5,10460.0,20.0,115.0,0.0036694217877458776,0.008126740228463714,0.0001669958170422466,0.004635443254847098,0.027376721071218992,0.00018764009572062428,0.0002813040746927968,0.000829323343686018,0.002746894023451878,0.00015328562938875056,0.007934835460836958,0.00021744906581009556,0.0002965374148851191,0.001109039772298838,0.00013999081028183367,0.0010137754822623223,0.004099991079555684,0.00015833933652616099,0.0014135323188331332,0.00028234981519770187,0.0008126350110558,0.0006193280622935069,0.0009748905436441006,0.00011017253198707225,0.0011456250604632598,0.000309678249893418,0.00030631297277307367,0.0013108835037923714,0.00022157479933550088,0.0007394347354354935,0.00031279925977731684,0.00023727582645431696,0.005644597869005029,0.003928192714055787,0.0007366930105705112,0.0006475504046841229,0.005710657617387128,0.000640087511929788,0.0001031367677470605,0.00012999919038156725,0.00011864661814582029,9.860253375174677e-05,0.05115402711473801,0.01120464689390074,0.0011111338618841023,0.0010690127345446762,0.001687441539516063,0.00016488191684051995,0.0012732117961328142,0.006273680260687291,0.006797467005321817,0.0019869590806382525,0.0003455433416886145,0.0013643333423161766,0.0002764020674753732,0.0029626535367641466,0.005137384092459841,0.0004394179038364643,0.0006113972081006632,0.00010539135025048848,0.00015543182174821392,0.00020094107514193721,0.00016125910785781217,0.00010820470498679568,9.237894984768612e-05,0.015113983118502462,0.002666744661407018,0.0005283103613494996,0.001985018599281279,0.0031385144676108092,0.0007710987931941552,0.00037080443708880885,0.0001837674652917192,0.025499245162565957,0.005748687004999004,0.0009305683984271497,0.0011968506512288928,0.0005230858647756306,0.00026137856653849254,0.0006077748833966729,0.0035820300452368333,0.002272091870155681,0.00047458501311327313,0.0003664072139203763,0.0017338249768892248,0.00019463693239584194,0.00023780147140463584,0.008683155862744008,0.0020112975618497516,0.0005769967842979163,0.0010645546104612452,0.01424816759288738,0.00016661941177093637,0.00028415012087182,0.0002216040231271519,0.000667827698618195,0.0006246969360286912,0.00014384867871841304,0.00027911316282474977,0.0020814821519226983,0.004429522907546623,0.0002165342917122394,0.0048704307110516,0.029162212889152838,0.0802242962300308,0.017171929313133907,FTT008
6,12260.0,18.3765,124.454,0.003586843756141328,0.007908171963685652,0.00015987426897646597,0.004767598291139642,0.027501832028637967,0.00018526184345363724,0.0002614642775227494,0.000869108232877859,0.0026859182878685777,0.0001376835076391106,0.008321321289293953,0.00020164625677510103,0.00031051584008730065,0.0010884873408225657,0.0001302840090347164,0.0010782960504422926,0.0036437222665873822,0.00014784884874980493,0.0016597236140282801,0.0003122496089115753,0.0008736132086771375,0.0006344073555210588,0.0011441913510968004,0.00010690167501265411,0.0011450086396793731,0.00029709372234235917,0.00028198650725999445,0.0010708364593519984,0.00020661359580640296,0.0007137839975179208,0.00028307053811461934,0.0002163741766818585,0.005747391345278184,0.003885624470325579,0.0007084798861316366,0.0006233851331567751,0.00557380423471264,0.0006669686306872394,0.00010630866964936921,0.00011768289456161077,0.00010734997010680526,9.897001850804489e-05,0.05045785906296123,0.011507704407453748,0.001176925139881103,0.0011784835745397252,0.0017034832212871344,0.0001554565439939679,0.0014307190580999892,0.0061112037882831835,0.005612805241655321,0.0014465850442455636,0.00033862033069240226,0.0012803088095646466,0.00026445957117981697,0.0030101514276716177,0.005032623139590138,0.00041263778846858473,0.0005944372393122022,9.847288211422264e-05,0.00013820196617233608,0.0001819460620842907,0.00014436005238269546,9.483466417721588e-05,8.034154553190372e-05,0.015603316643951686,0.0026531553130285795,0.0004841316739382011,0.0020427674482844803,0.0032186329080255,0.0007243777014430493,0.00034858183897205236,0.00016490358332742682,0.025981155489126124,0.005442575895713702,0.000972469157083435,0.001111587600289998,0.0004933618365033769,0.00022585306448142352,0.0006687812671466155,0.0034502971497036455,0.0018708009702358497,0.0004509087220764406,0.00038230325807469574,0.0017093716048326207,0.00019554820408088753,0.00022632675428543576,0.008955765882043892,0.0015736496946215104,0.0005659599727661575,0.0011507016119057332,0.014196913220088177,0.0001592252178404641,0.0002559297790839474,0.00020540341727498935,0.0006725220267738581,0.00048586519071222676,0.00014067882957109642,0.00028716279833721696,0.0022661475456790337,0.004274148423883051,0.0002038073232982907,0.006001471382441843,0.033797185628099434,0.08098761346229351,0.016226362063128413,FTT008
7,14060.0,19.7815,143.1445,0.0042947046487821095,0.0072569931949809565,0.00017581318278658717,0.005389646914897737,0.02828868857275401,0.00018996446111145686,0.00028401719635721615,0.001002027292373114,0.002749391198558749,0.00014891141916763108,0.00893347034994307,0.00023391400721752483,0.00035657826158733456,0.001105254269520356,0.00014319832606753675,0.0012335175513948807,0.003921229598959275,0.00017029585468117622,0.0014069935735268931,0.00025664710672676977,0.000740800673786653,0.0006008619172232577,0.0009022789322858278,0.00011451394565347723,0.0011445692416673032,0.0002903231934713243,0.0004525035680936602,0.0016280229866499107,0.00021927035869323267,0.000776679908245082,0.0002737019869314464,0.00023548744983296115,0.005719397682939234,0.0037232373913384104,0.0007001682643609093,0.0006514868824067403,0.0055142120473151875,0.0006211212634490216,0.00010181616186957028,0.0001405168239320483,0.00012189432908501932,0.00010661815477031184,0.04868091442528886,0.011285644713618793,0.0010935059749779448,0.001098791481225231,0.0017572964620405276,0.00016675074229522695,0.0016300131021395534,0.0064791683834168395,0.006170018054233347,0.001430774335238552,0.0003675134323397825,0.0012765768502280182,0.0002810146127432896,0.00294122434546358,0.0050767757859915925,0.00047657053799542355,0.0005690522596241474,0.00010926937790685564,0.00015747969939578044,0.00021125027598797774,0.00016914837469160428,0.00010530132057970859,8.700152826515532e-05,0.014929875231913785,0.00255155203098442,0.000555010171902578,0.0020443201293764007,0.0031778293933081756,0.0006807090334602338,0.0003296918781534404,0.00018252059985187592,0.024459302052416206,0.00546207728924646,0.0010550910354501142,0.0011274102353464614,0.00051603396646114,0.00021383159462910045,0.0007139647046641511,0.0037522586641461964,0.001953424115717746,0.0004542405977920795,0.0004132314378774147,0.0017533957849982698,0.00019404978328324237,0.0002640227838649572,0.008518086233369408,0.0018647619571127375,0.000556524029661207,0.0012808058441072566,0.015140117504387839,0.00017056874471205367,0.00027845695992448626,0.00023682010340364917,0.0007091009689811215,0.0005987151453354929,0.00015366620204519376,0.00031943591562833126,0.002275306828438902,0.004636260421659501,0.00021481380268802605,0.005477218044728006,0.03129119883952378,0.08101548328793733,0.012546955140035534,FTT008
8,15860.0,10.0,150.0,0.0026985539277019415,0.006617761216812528,0.00012541232401512214,0.004587672171351293,0.025347671669199948,0.00015262574136351686,0.00017918738172040304,0.0008812254217267846,0.0021233342861274127,0.00010872847676711124,0.008402591705535516,0.00014565300048174692,0.00030732482085818295,0.0007913620917389327,0.00010382277578851886,0.0012321515438884778,0.001841576265254885,0.00010640571181380572,0.003756087196570252,0.0006927695111147082,0.001558444377659525,0.0006017423729062764,0.002439376315809088,9.193421202610448e-05,0.0012259522696503637,0.00034051483952512096,0.00015870256490615954,0.00030779868415803873,0.0001820780593219308,0.00045087697856383214,0.00020239521154328014,0.00016721352334411616,0.00609292410137029,0.00455816575925181,0.0008209612853947091,0.000546899759019636,0.005546556620421454,0.0008437758178645925,8.271811526246264e-05,9.602311032776641e-05,8.556814017441105e-05,7.156522336682823e-05,0.05199546316564789,0.014382188782642,0.0016159453149269807,0.0015339653449847382,0.0015421546446206223,0.00011864280138690004,0.0013445309428794074,0.00428431633102625,0.0016435938292228406,0.000261145120901889,0.000257682199004736,0.0007450382287913651,0.0002009604869583364,0.0028216089146847973,0.0037091989641141274,0.0003195995465536809,0.0004862737400958457,7.284810937295436e-05,9.94406303598059e-05,0.00012019305037236702,0.00011153562299628447,8.069901462898838e-05,8.219004908520775e-05,0.018092643184903306,0.0030571155393065894,0.0002899563109896167,0.0022019510057757017,0.002946343896747696,0.0006383185102795076,0.00027053295814755195,0.00012789527764854518,0.02580912570501273,0.005042889513238535,0.0008760902963695006,0.000512735679025469,0.00022417014695810437,0.00010467625818532887,0.0007055412180737007,0.0021498907517036466,0.0007358411124565934,0.00031677236738307453,0.00042626191372077416,0.0013081909758452667,0.00013653766815551187,0.00023489268199086463,0.008154815208089765,0.0005377599278351406,0.0004559980312118301,0.0011091208177393707,0.012688202175353103,0.00013540369510690474,0.00017788544264492714,0.00019754261877548567,0.0006346058588625085,0.00019744541538513875,0.00010735273146517417,0.00027530636765762506,0.0023142560910328507,0.002752147664763953,0.00015050479245908897,0.010953783340804935,0.0490828259806894,0.07527831088029403,0.014839561409720354,FTT008
9,17660.0,42.4355,144.6049,0.004630509402687474,0.0015001384104144353,0.0004336760126292419,0.0076929908502524165,0.008723659076132881,0.0004254525695262501,0.0005792724723023704,0.001453620567897185,0.0015470983016463527,0.0003497074561116576,0.005544708915417735,0.0004997811540707856,0.0007156099018519966,0.0011907951903550402,0.00031380441514926413,0.0016750392215208905,0.001578228802508109,0.00039720318802950966,0.00040815974626533025,0.000259882075606955,0.0003592428116770851,0.0005582155900667222,0.0003072373991586841,0.00026120549976083713,0.0012180989477308553,0.00048280723468862934,0.002713067761425887,0.008274332410866699,0.00041858253087558326,0.0012100939234085395,0.0010376687768559139,0.00039178852171542543,0.003795963899233673,0.0056783687144847635,0.003316979894172678,0.00046757141511880257,0.0035539479525284307,0.000658228156623434,0.0002519163554233061,0.00046131004319143815,0.0003240329583912923,0.0002563629589614401,0.02545364749218357,0.014085885060931598,0.0022022686267316725,0.0005652206451473978,0.0006828885555229908,0.0003471314636217394,0.003619148959665176,0.01567545814455608,0.01976837162958418,0.0034049323775737113,0.0006070557822108858,0.002166238427382309,0.000366587635735674,0.0021422941605273127,0.006380414981532197,0.0005709255217501043,0.00042369558097750826,0.00026855067867423096,0.0005288595306451241,0.0006955408026991605,0.00043177571661999275,0.00025846344676005404,0.00021875355018771215,0.00887713002435364,0.004967412018022362,0.0006481929564436516,0.0016327967709406346,0.002719938311421425,0.0014230563433114164,0.000695401254673335,0.0003400982592152345,0.010186541137718788,0.011703505432902325,0.0005843780505348253,0.0018181017575080913,0.0009948721830351582,0.0006217172227436138,0.0007806189891849775,0.005162621579795845,0.003943505310768588,0.00043399887810363234,0.0005635507926930266,0.0020186789006071534,0.00035802502384532116,0.0005016908853949983,0.006810881261533161,0.006362841781627959,0.00042205660049872385,0.001185876749553156,0.007000648000064598,0.0003822876518919766,0.0005206817148792183,0.0005411900924616227,0.0010777153290760586,0.001461338500555401,0.00035451673498509734,0.0005200850577968404,0.0022264370386355574,0.004728187206814525,0.00048154589578207465,0.0016562653747035695,0.006521394149890777,0.025924069622589866,0.001315149041067848,FTT008
10,19460.0,50.0,150.0,0.0034758729569927455,0.0008703310437948869,0.00048021403608936665,0.006340167319751893,0.004793178842802252,0.0005201346651679609,0.0005350700799568993,0.0012897644461620837,0.001086738000954066,0.0004295530494400399,0.0037518123444951388,0.0005003717104677774,0.0007557697078917651,0.0009980050458198299,0.00040556144314204934,0.0014529337176414408,0.0008473024286924695,0.00048163798467004064,0.00040553764998880446,0.00035932101771361715,0.00040806741272827004,0.0005500538818333911,0.0003432407671292293,0.00034036005102260124,0.0011020866737827754,0.0006316661834274696,0.003956722899324586,0.010339521954146618,0.000475828912897974,0.0014493280591950566,0.0013446710076421302,0.00043232949841464394,0.0025203356797650553,0.005310289108802894,0.004429169942034751,0.0004783756569259137,0.002180980864453089,0.0006868357127147018,0.0002994297770339319,0.0006617612379728455,0.0004891155703580915,0.0003199023165726428,0.01470950148365708,0.011300746213216079,0.0030101905535269737,0.000687802266545685,0.0005711700876502775,0.00039127538230880756,0.00488001224731515,0.01859015982145286,0.02168539421346258,0.0034019077509726357,0.000663707776388702,0.0022117129621723785,0.00045047724696596603,0.0019054778580514754,0.005869676010755051,0.000575873132146639,0.0004645846888887289,0.00031451096643749735,0.0006222401296099313,0.0008227391357680878,0.0006284296689886454,0.0003260385552968807,0.000308695749415675,0.007164759582073363,0.005425100342408541,0.0005992919405391383,0.0018746958970567219,0.0032071804568607034,0.002022304441581806,0.0008774242012857622,0.0004202836708542932,0.007267795708103354,0.010723772068863617,0.0005510137431851486,0.0019450990116659944,0.0012220085025695996,0.0007382692136792372,0.0008405689099622751,0.0049321159016870566,0.0036680618583028617,0.0004687952720270798,0.0007080810365046046,0.0024520969252611598,0.0004172261825690628,0.0005595953476089131,0.006121983055413248,0.005995161718890216,0.0004967089239903342,0.0011548773970439664,0.0047118690098905585,0.0004460617482091788,0.0005291462614112764,0.0006674448485856267,0.0012981123967656554,0.001325340403830058,0.0004590366170675971,0.000625910570193823,0.0025519480019562486,0.004607372292935746,0.0005239139322060746,0.0014796473746730183,0.004736747423892169,0.014606092972748478,0.0010017813455466408,FTT008
